iter	Passed	Remaining
0	0	82
1	1	79
2	2	74
3	2	70
4	3	69
5	4	67
6	4	65
7	5	65
8	6	64
9	7	64
10	8	64
11	8	64
12	9	62
13	10	62
14	10	61
15	11	60
16	12	60
17	12	59
18	13	58
19	14	57
20	14	56
21	15	55
22	16	54
23	16	53
24	17	52
25	18	52
26	19	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	47
32	23	46
33	23	46
34	24	45
35	25	44
36	26	44
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	37
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	38	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	25
62	43	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	51	18
74	52	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	11
83	59	11
84	59	10
85	60	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	70	0
99	70	0
